CraneNO,OrderNO,ControlMode,RecTime,CurX,CurY,CurZ,CurHasCoil,PlanUpX,PlanUpY,PlanUpZ,PlanDownX,PlanDownY,PlanDownZ,
1_3,10422,4,20200925151318,89110,5456,2622,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151319,89110,5456,2465,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151320,89110,5456,2275,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151321,89110,5456,2104,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151322,89110,5456,1948,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151323,89110,5456,1793,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151324,89110,5456,1701,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151325,89110,5456,1593,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151326,89110,5456,1487,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151327,89110,5456,1379,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151328,89110,5456,1270,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151329,89110,5456,1162,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151330,89110,5456,1054,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151331,89110,5456,991,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151332,89110,5456,949,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151333,89110,5456,905,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151334,89110,5456,868,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151335,89110,5456,846,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151336,89110,5456,827,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151337,89110,5456,805,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151338,89110,5456,782,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151339,89098,5456,779,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151340,89066,5456,779,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151341,89040,5456,779,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151342,89048,5456,779,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151343,89042,5456,779,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151344,89046,5456,779,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151345,89044,5456,779,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151346,89044,5456,779,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151347,89044,5456,779,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151348,89044,5455,779,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151349,89044,5456,779,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151350,89044,5456,781,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151351,89044,5456,825,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151352,89044,5456,863,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151353,89044,5455,918,1,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151354,89044,5455,1023,1,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151355,89044,5455,1120,1,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151356,89044,5456,1289,1,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151357,89044,5456,1448,1,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151358,89044,5455,1602,1,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151359,89044,5455,1807,1,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151400,89044,5455,1962,1,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151401,89044,5455,2119,1,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151402,89044,5455,2308,1,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151403,89044,5455,2462,1,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151404,89044,5456,2635,1,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151405,89044,5456,2809,1,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151406,89044,5455,2981,1,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151407,89044,5455,3153,1,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151408,89044,5455,3326,1,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151409,89044,5455,3499,1,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151410,89044,5455,3671,1,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151411,89044,5455,3843,1,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151412,89044,5456,4016,1,89120,5441,999999,999999,999999,999999,
1_3,999999,4,20200925151413,89044,5455,4172,1,999999,999999,999999,110700,999999,999999,
1_3,999999,4,20200925151414,89044,5455,4360,1,999999,999999,999999,110700,999999,999999,
1_3,999999,4,20200925151415,89056,5455,4533,1,999999,999999,999999,110700,30035,999999,
